iter	RMSE
0	56.14886547
1	50.51019121
2	45.49208556
3	41.03034333
4	37.0376831
5	33.43582757
6	30.2184222
7	27.37635427
8	24.80807828
9	22.56251862
10	20.54721184
11	18.72964378
12	17.12360807
13	15.6695127314	14.34776838
15	13.22877962
16	12.21427996
17	11.29821916
18	10.46872516
19	9.763377216
20	9.099113156
21	8.541121037
22	8.039012627223	7.591127674224	7.202686112225	6.864245392626	6.565971822727	6.296984632828	6.07182532229	5.868626895330	5.694774999331	5.543873945332	5.398200184333	5.284747634	34	5.180929935	35	5.078143336	36	4.996452137	37	4.914492738	38	4.849416539	39	4.788260440	40	4.735934141	41	4.679989342	42	4.627380543	43	4.588531244	44	4.546231345	45	4.51468704646	4.484984654747	4.44819097448	4.42632330544949	4.4653995050	4.371750905151	4.348266166
52	4.323676043
53	4.308221125
54	4.292746295555	4.270883335656	4.250629541
57	4.23625391585858	4.27567159559	4.26141696060	4.191866996161	4.1790185062662	4.22062576363	4.154105816464	4.1419037565665	4.18917496666	4.1191900567667	4.16634126868	4.100019046969	4.082996837070	4.070718157171	4.06126581772	4.051731499773	4.04523885874	4.080759055
775	4.02588648176	76	4.078289777	77	4.068593678	78	4.057905479	79	4.047109388080	4.039977381	81	4.033925482	82	4.0287983	4.83	4.0234284	3.84	4.0192485	3.85	4.009486	3.986	3.998487	38787	3.991488	38888	3.984389	38989	3.976190	39090	3.968991	39191	3.961892	39292	3.954193	3993	3.9515694	394	3.94735095	395	3.93860796	96	3.93267297	397	3.92748498	398	3.9219799	3.99	3.91639100	3100	3.91091101	3101	3.907102	3.8102	3.903103	3.8103	3.899104	3.8104	3.895105	3.8105	3.891106	3.106	3.8857107	3.107	3.88060886
108	3.876286265
109	3.87308110	3110	3.868111	3.8111	3.8112	3.844112	3.857547706
113	3.854236145
114	3.849980338
115	3.846155661
116	3.8117	3.828117	3.838362654
118	3.834597207
119	3.830814048
120	3.828007518
121	3.824567822
122	3.821725382
123	3.820020218
124	3.817227166
125	3.813933755
126	3.8127	3.794127	3.128	3.7911128	3.129	3.7882129	3130	3.78461130	3131	3.78114131	3132	3.77876132	3133	3.776133	3.7134	3.77134	3.78135	3.77135	3.7136	3.766136	3.7137	3.764137	3.7138	3.762138	3.139	3.7596139	3.140	3.7563140	3.141	3.7548141	31142	3.7521142	31143	3.7497143	31144	3.7472144	31145	3.7457407811146	3.7433146	31147	3.7415147	31148	3.7385738331149	3.7369696281150	3.7350060681151	3.7319354611152	3.7292759631153	3.7268105781154	3.7247401611155	3.72231132
156	3.7197156	3.157	3.7182157	3.158	3.7152158	3159	3.713759496
160	3.711980314
161	3.709444577
162	3.708009339
163	3.705297635
164	3.703096662
165	3.701662467
166	3.6997166	3.167	3.6970167	3.168	3.6955168	3.169	3.6937169	3170	3.69255170	3171	3.69039171	172	3.688381172	173	3.686705173	174	3.684696174	175	3.682901175	176	3.681740176	177	3.679628122
178	3.677244456
179	3.675827707
180	3.674081138
181	3.671705788
182	3.669195103
183	3.6681186921184	3.6667234831185	3.6648111851186	3.662946186	187	3.660765187188	3.6593164188189	3.6572430391190	3.655247045
191	3.653651877
192	3.652135558
193	3.650024525
194	3.6488628961195	3.647232659
196	3.645916301
197	3.644618679
198	3.6428196911199	3.6414868991200	3.6401170220201	3.6377215820202	3.6361512520203	3.6349402020204	3.633768204	205	3.632213205206	3.6309158206207	3.6296426207208	3.6281912208209	3.6270108209210	3.6259901210211	3.6249720211212	3.6236662212213	3.6228287213214	3.6209052214215	3.6189381221216	3.6179755216217	3.6167209217218	3.6158487218219	3.6145781219220	3.6136986220221	3.6123376221222	3.6113516222223	3.6102580223224	3.6083309224	3.61052773
22226	3.6059211522227	3.6050225222228	3.6036130022229	3.6020085722230	3.6006085623231	3.599549712232	3.598491963232	3.601365297
233	3.600412414
234	3.599306107
235	3.597689914
236	3.596359902
237	3.595354231
239	3.58972925
240	3.588589117
241	3.587430592
242	3.586333657
243	3.5855240162244	3.5845688532245	3.5837097152246	3.583106903246	3.584222584
247	3.583383824
249	3.578307169
250	3.577007004
251	3.5759631542252	3.5746210512253	3.5734682672254	3.5727307225255	3.5717695025256	3.5708346525257	3.5699589257258	3.56905258	3259	3.56820259	3260	3.56731260	3261	3.56632261	3262	3.5657262	3.263	3.5650263	3.264	3.5643264	3.265	3.5636265	3.266	3.562266	3.5267	3.562267	3.5268	3.560268	3.269	3.5602269	3.270	3.559167002
271	3.558522012
272	3.557439912
273	3.556470292
274	3.555568407
275	3.555163443
276	3.5544276	3.277	3.5532277	3.278	3.5521278	3.279	3.5511279	3.280	3.55052280	3281	3.5498281	3.282	3.5490282	3.283	3.5484283	3.284	3.5472284	3.285	3.5461285	3.286	3.5454286	3.287	3.5445287	3.288	3.54288	3.5289	3.541289	3.5290	3.540290	3.5291	3.53291	3.5292	3.539292	3.5293	3.538293	3.5294	3.537294	3.5295	3.536295	3.5296	3.535296	3.297	3.5350297	3.298	3.534298	3.5299	3.533299	3.5300	3.532300	3.5301	3.532301	3.5302	3.531302	3.5303	3.530303	3.5304	3.52304	3.53305	3.52305	3.53306	3.52306	3.53307	3.52307	3.52308	3.52308	3.5309	3.525309	3.5310	3.525310	3.5311	3.524311	3.5312	3.524312	3.5313	3.523313	3.5314	3.522314	3.5315	3.521315315	316	3.52031316	3317	3.52030317	3318	3.51931318	3319	3.519319	3.5320	3.518368715
321	3.517781921
322	3.5173322	3.323	3.5163323	3.324	3.5157324	3.325	3.5152325	3.326	3.5145326	3.327	3.5140327	3328	3.51341328	3329	3.51264329	3330	3.51199330	3331	3.5112331	3.332	3.5102332	3.333	3.5095333	3.500456946
334	3335	3.50852335	3336	3.5078336	3.337	3.5071337	3.338	3.5063338	3.339	3.505339	3.340	3.505340	3.4341	3.504341	3.4342	3.504342	3.4343	3.503343	3.4344	3.502344	3.4345	3.50345	3.49346	3.50346	3.49347	3.50347	3.4348	3.500348	3.4349	3.499349	3.4350	3.493350	3.351	3.4983351	3.352	3.4975352	3.353	3.4963353	3.354	3.4962354	3.355	3.495355	3.356	3.495103644
357	3.4943357	3.358	3.493666914
359	3.493146967
360	3.4926360	3.361	3.492191893
362	3.491297987
363	3.490701047
364	3.4904364	3.365	3.490018896
366	3.489366	3.4367	3.489041389
368	3.488645865
369	3.488162091
370	3.48772005
371	3.48736588
372	3.486730741
373	3.486233975
374	3.485653316
375	3.48507114
376	3.484607882
377	3.484174702
378	3.483736929
379	3.482985965
380	3.482380537
381	3.481795204
382	3.481346036
383	3.480805961
384	3.480426447
385	3.479639079
386	3.479329927
387	3.478977916
388	3.478368275
389	3.477928448
390	3.477417119
391	3.47700007
392	3.476499245
393	3.475995019
394	3.475678606
395	3.47519517
396	3.474661261
397	3.474110161
398	3.473502587
399	3.473021838
400	3.472280758
401	3.47198538
402	3.471345711
403	3.470930626
404	3.470571783
405	3.469921343
406	3.469178921
407	3.468900132
408	3.468644826
409	3.467954635
410	3.467540988
411	3.466963254
412	3.466536761
413	3.466115751
414	3.4653692
415	3.464997818
416	3.464715239
417	3.464133163
418	3.463798883
419	3.463289972
420	3.462915608
421	3.462570928
422	3.461996005
423	3.461494337
424	3.460820218
425	3.460296307
426	3.459912365
427	3.4427	3.453428	3.458690973
429	3.458214444
430	3.457922054
431	3.457306473
432	3.456953769
433	3.4561541
434	3.455520463
435	3.454958334
436	3.454593683
437	3.45399469
438	3.45383931
439	3.453013832
440	3.452561216
441	3.452405671
442	3.452001143
443	3.451730531
444	3.451386572
445	3.450856076
446	3.450585405
447	3.449905721
