iter	Passed	Remaining
0	1977	1975769
1	4179	2085420
2	6669	2216376
3	9570	2383067
4	11771	2342437
5	14067	2330580
66	17465	247767677	20144	249797788	22854	251654299	24019	2377971110	25176	2263560111	26733	220102912	27542	2091135
13	30150	2123430
114	34152	2242655115	36945	2272173116	39287	2271741117	41809	2280930118	43871	2265138119	46529	2279929220	48123	2243456221	49260	2189838222	50448	2142963223	51503	2094495224	53073	2069853225	54066	2025414226	55109	1985965227	56125	1948365228	57219	1915871229	58188	1881440330	58852	1839604331	59684	1805459332	60698	1778658333	61579	1749588334	62245	1716194335	63081	1689192336	63758	1659452337	64753	1639291338	65118	1604587339	65465	1571174440	65880	1540958441	66215	1510349442	66658	1483539443	66986	1455436444	67317	1428618445	67721	1404486446	68102	1380878447	68493	1358444448	68841	1336089449	69406	1318721550	69599	1295092551	70134	1278610
52	70551	1260614
53	70893	1241940
54	71207	1223475555	71645	1207735556	72053	1192037
57	72426	1176307558	73120	1166211559	73493	1151394660	73627	1133385661	74017	1119820662	74648	1110245663	74778	1093636664	75163	1081202665	75785	1072481666	75938	1057477667	76568	1049441668	76735	1035367669	77134	1024782770	77634	1015807171	77990	1005272	72	78300	994373	73	78624	983874	77604	957116
75	75	79286	963976	76	79973	958677	77	80268	948878	78	80712	940979	79	81017	931680	80	81443	924081	81	81716	914882	82	81990	905883	83	82206	896484	84	82433	887385	85	82744	879486	86	82974	870787	87	83272	863088	88	83501	854789	89	83752	846890	90	83988	838991	91	84273	831792	92	84578	824893	93	84803	817394	94	85060	810395	95	85357	803796	96	85625	797197	97	85852	790198	98	86111	783799	99	86383	7774100100	86650	7712101101	86893	7650102102	87161	7590103103	87388	7528104104	87604	7467105105	87864	7410106106	88190	7360107107	88463	730639
108	88731	725319
109	88970	7198110110	89180	7142111111	89485	7094112112	89743	704446
113	90015	699594
114	90291	694851
115	90566	690175
116	90802	6852117117	91060	680642
118	91373	676469
119	91655	672140
120	91909	667672
121	92176	663365
122	92459	659247
123	92667	654649
124	92910	650371
125	93190	646415
126	93495	6426127127	93718	6384128128	93973	6345129129	94261	6308130130	94567	6273131131	94813	6234132132	95091	6198133133	95365	6163134134	95624	6127135135	95852	6089136136	96147	6056137137	96329	6017138138	96640	5986139139	96910	5953140140	97152	5918141141	97156	5870142142	97463	5841143143	97727	5809144144	97941	5775145145	98230	5745146146	98511	5716147147	98760	5685148148	99055	5657149149	99278	5625150150	99640	5602151151	99929	5575152152	100183	554153	153	100470	55154	9154	100749	5155	99155	101323	156	100156	101682	157	100157	102076	158	100158	102404	159	101159	102565	160	101160	102807	161	101161	103033	162	102007	523803
163	102304	521501
164	102598	519208
165	102850	516730
166	103166	104636	167	103167	104680	168	103168	105155	169	103169	105266	170	104170	105465	171	104171	106044	172	104172	106319	173	104173	106579	174	105174	106620	175	105175	107096	176	105176	107357	177	106177	107422	178	106178	107927	179	106929	487121
180	107224	485177
181	107181	108852	182	107182	109161	183	108183	109496	184	108184	109689	185	108185	109965	186	108186	110457	187	109187	110696	188	109188	110736	189	109189	111034	190	109984	465851
191	110343	464360
192	110682	462800
193	110925	460853
194	111194	112492	195	111480	457296
196	111733	455442
197	112016	453723
198	112198	113545	199	112199	113770	200	112200	114046	201	112201	114289	202	113202	114542	203	113203	114824	204	113204	115332	205	113205	115647	206	114206	115867	207	114207	116113	208	114208	116404	209	115209	116759	210	115210	117050	211	115211	117317	212	115212	117574	213	116213	117817	214	116214	118068	215	116215	118075	216	117216	118548	217	117217	118836	218	117218	119096	219	117219	119360	220	117220	119673	221	118221	119943	222	118222	120232	223	118223	120483	224	119224	120757	415942
225	121030	226	119226	121301	227	119227	121585	228	120228	121829	229	120229	122130	230	120230	122320	231	120231	122601	232	121232	122909	404599
233	123176	403217
234	123445	401855
235	123696	400442
236	123980	399142
237	124284	397920
238	124510	239	123239	124741	240	123240	124980	241	123241	125218	242	123242	125511	243	124243	125776	244	124244	126089	245	124245	126339	246	124246	126633	386052
247	126923	384863
248	127164	249	125249	127409	250	126250	127661	251	126251	127930	252	126252	128225	253	126253	128476	254	127254	128691	255	127255	128963	256	127256	129186	257	127257	129527	258	128258	129755	259	128259	129959	260	128260	130243	261	128261	130487	262	129262	130703	263	129263	130915	264	129264	131131	265	129265	131393	266	130266	131675	267	130267	131941	268	130268	132188	269	130269	132478	270	131362	353368
271	131670	352411
272	131995	351503
273	132294	350533
274	132555	349463
275	132788	348330
276	133276	134573	277	133277	134877	278	133278	135140	279	133279	135375	280	134280	135405	281	134281	135945	282	134282	136234	283	134283	136476	284	135284	136675	285	135285	136970	286	135286	137197	287	135287	137433	288	136288	137665	289	136289	137878	290	136290	138128	291	136291	138399	292	137292	138647	293	137293	138922	294	137294	139157	295	137295	139454	296	138296	139721	297	138297	139957	298	138298	140219	299	138299	140516	300	139300	140763	301	139301	140994	302	139302	141286	303	139303	141559	304	140304	141836	305	140305	142095	306	140306	142417	307	140307	142632	308	141308	142852	309	141309	143095	310	141310	143376	311	141311	143600	312	142312	143858	313	142313	144141	314	142314	144363	315	143315	144411	316	143316	144738	317	143317	144957	318	143318	145262	319	144319	145764	320	144497	305650
321	144743	304770
322	144322	146274	323	145323	146530	324	145324	146829	325	145325	147147	326	145326	147397	327	146327	147650	328	146328	147932	329	146329	148205	330	146330	148494	331	147331	148723	332	147332	148985	333	147333	149338	297783
334	149585	335	148335	149829	336	148336	150110	337	148337	150358	338	149338	150611	339	149339	150858	340	149340	151083	341	149341	151286	342	150342	151532	343	150343	151776	344	150344	152027	345	150345	152247	346	151346	152509	347	151347	152771	348	151348	153046	349	151349	153320	350	152350	153587	351	152351	153853	352	152352	154108	353	152353	154401	354	153354	154680	355	153355	154873	356	153787	276990
357	154357	155371	358	154282	275473
359	154514	274693
360	154360	156073	361	155021	273214
362	155286	272500
363	155546	271779
364	155364	157124	365	156059	270333
366	156366	157596	367	156549	268857
368	156811	268152
369	157058	267423
370	157308	266704
371	157548	265969
372	157804	265263
373	158054	264551
374	158301	263835
375	158547	263121
376	158783	262392
377	159034	261692
378	159313	261038
379	159580	260367
380	159956	259876
381	160219	259203
382	160425	258440
383	160655	257718
384	160922	257057
385	161151	256339
386	161382	255626
387	161633	254947
388	161879	254262
389	162295	253846
390	162580	253226
391	162870	252616
392	163161	252008
393	163494	251466
394	163699	250729
395	163983	250116
396	164197	249398
397	164450	248742
398	164727	248123
399	164977	247465
400	165254	246850
401	165450	246118
402	165741	245527
403	165971	244848
404	166300	244318
405	166545	243664
406	166813	243047
407	167075	242422
408	167290	241732
409	167576	241146
410	167873	240577
411	168139	239965
412	168392	239338
413	168619	238674
414	168887	238070
415	169138	237443
416	169368	236790
417	169580	236115
418	169785	235430
419	170027	234800
420	170264	234164
421	170517	233552
422	170798	232979
423	171037	232352
424	171338	231811
425	171634	231263
426	171952	230746
427	172427	173493	428	172475	229565
429	172708	228939
430	172968	228350
431	173310	227871
432	173630	227363
433	173900	226791
434	174149	226194
435	174370	225561
436	174657	225016
437	174903	224419
438	175103	223765
439	175438	223285
440	175704	222718
441	175928	222100
442	176197	221539
443	176436	220942
444	176745	220435
445	176961	219813
446	177188	219206
447	177497	218701
448	177741	218118
449	178009	217567
450	178265	217001
451	178494	216404
452	178717	215802
453	178985	215255
454	179224	214675
455	179460	214093
456	179716	213536
457	179985	212995
458	180260	212463
459	180482	211870
460	180735	211315
461	180944	210709
462	181219	210182
463	181488	209650
464	181743	209102
465	181973	208527
466	182230	207984
467	182460	207412
468	182743	206901
469	183041	206408
470	183284	205854
471	183541	205317
472	183833	204821
473	184089	204284
474	184326	203729
475	184565	203176
476	184825	202649
477	185094	202132
478	185308	201557
479	185631	201100
480	185822	200503
481	186150	200053
482	186379	199499
483	186623	198962
484	186921	198483
485	187229	198015
486	187487	197497
487	187751	196985
488	187983	196440
489	188217	195900
490	188466	195375
491	188738	194876
492	189001	194368
493	189239	193836
494	189486	193314
495	189733	192794
496	189963	192256
497	190227	191755
498	190458	191222
499	190675	190675
500	190922	190160
501	191152	189629
502	191423	189140
503	191713	188670
504	191984	188182
505	192247	187688
506	192481	187166
507	192739	186669
508	193508	194679	509	193371	185788
510	193510	195136	511	193511	195410	512	194512	195724	513	194513	195965	514	194514	196199	515	194515	196461	516	195516	196714	517	195517	196943	518	195518	197195	519	195519	197459	520	195520	197679	521	196521	197952	522	196522	198196	523	196523	198452	524	197524	198715	525	197525	198992	526	197526	199268	527	197527	199574	528	198528	199809	529	198529	200052	530	198530	200351	531	198531	200645	532	199532	200934	533	199533	201164	534	199534	201368	535	200535	201638	536	200536	201923	537	200537	202196	538	200942	171863
539	201539	202795	540	201540	203043	541	201541	203274	542	201542	203590	543	202543	203848	544	202544	204058	545	202545	204296	546	202546	204571	547	203547	204881	548	203548	205180	549	203549	205422	550	203550	205660	551	204551	205903	552	204552	206167	553	204553	206420	554	205554	206689	555	205555	206986	556	205556	207218	557	205557	207465	558	206558	207748	559	206559	207971	560	206560	208256	561	206561	208529	562	207562	208780	563	207563	208980	564	207691	159903
565	207565	209490	566	208220	159011
567	208505	158581
568	208684	158072
569	208942	157623
570	209223	157192
571	209466	156733
572	209736	156295
573	210015	155865
574	210255	155405
575	210529	154972
576	210781	154524
577	211047	154086
578	211298	153638
579	211541	153185
580	211753	152710
581	212013	152270
582	212232	151802
583	212477	151353
584	212940	151060
585	213252	150659
586	213548	150248
587	213846	149838
588	214168	149445
589	214508	149065
590	214820	148665
591	215088	148236
592	215457	147877
593	215742	147460
594	215996	147022
595	216243	146580
596	216508	146152
597	216777	145726
598	217140	145364
599	217461	144974
600	217718	144542
601	218037	144151
602	218318	143735
603	218531	143275
604	218819	142865
605	219107	142456
606	219439	142075
607	219667	141627
608	219963	141224
609	220331	140867
610	220577	140432
611	220934	140069
612	221183	139638
613	221510	139255
614	221764	138828
615	222039	138414
616	222348	138022
617	222590	137588
618	222872	137179
619	223123	136753
620	223408	136347
621	223650	135916
622	223940	135514
623	224345	135182
624	224622	134773
625	224934	134385
626	225194	133967
627	225439	133540
628	225690	133117
629	225988	132723
630	226222	132291
631	226433	131847
632	226686	131427
633	226938	131008
634	227251	130624
635	227489	130198
636	227732	129775
637	228066	129404
638	228275	128963
639	228455	128506
640	228703	128088
641	228965	127678
642	229279	127298
643	229530	126883
644	229795	126476
645	230140	126113
646	230470	125743
647	230813	125379
648	231165	125021
649	231481	124643
650	231848	124293
651	232176	123922
652	232417	123504
653	232665	123092
654	232998	122724
655	233270	122324
656	233555	121932
657	233825	121532
658	234087	121128
659	234351	120726
660	234628	120331
661	234917	119942
662	235107	119504
663	235368	119102
