iter	RMSE
0	185623075.2
1	170241649.6
2	159825559.2
3	151339035.1
4	145149331.2
5	140335170.6
6	136345447.7
7	133037421.8
8	130526337.3
9	128802354.2
10	127209710.2
11	126251957.8
12	125548523.7
13	124262748.9
14	123159237.8
15	122396303.8
16	121757882.2
17	121398737.9
18	120830799.5
19	120443724.6
20	119587823.4
21	119360500.5
22	119121275.6
23	118906976.7
24	118582300.1
25	118528133
26	118148688.4
27	117951639.9
28	117841167.1
29	116755631.2
30	116606318.2
31	116520641.8
32	116417362
33	116380595.8
34	116150524.2
35	116070151.1
36	115931641.6
37	115834394.7
38	115510506.6
39	115424046.9
40	115080033.1
41	115021076.1
42	114657231.6
43	114383321
44	114375454.3
45	114190690.9
46	114090423.6
47	113935552.5
48	113721674
49	113301110.6
50	113234823.8
51	112812413.6
52	112587169.7
53	112345160.6
54	112251461.1
55	112230366
56	112017475.6
