iter	Passed	Remaining
0	130	91294
1	236	82569
2	328	76428
3	415	72212
4	495	68826
5	584	67608
6	675	66857
7	756	65409
8	837	64307
9	922	63656
10	992	62150
11	1060	60798
12	1144	60487
13	1231	60346
14	1306	59664
15	1383	59146
16	1465	58893
17	1540	58372
18	1607	57632
19	1694	57628
20	1773	57346
21	1858	57271
22	1935	56974
23	2023	57000
24	2094	56548
25	2138	55430
26	2223	55410
27	2303	55283
28	2378	55023
29	2449	54695
30	2523	54467
31	2541	53047
32	2571	51985
33	2602	50968
34	2673	50798
35	2750	50726
36	2823	50594
37	2895	50439
38	2959	50163
39	3028	49976
40	3110	50001
41	3195	50065
42	3265	49886
43	3338	49769
44	3363	48956
45	3451	49072
46	3537	49142
47	3617	49138
48	3690	49027
49	3768	48995
50	3835	48805
51	3904	48659
52	3957	48315
53	4042	48359
54	4123	48359
55	4147	47697
56	4226	47677
